Date,Open,High,Low,Close,Adj Close,Volume
2020-02-21,53.849998,53.959999,52.820000,54.099998,54.099998,56503
2020-02-23,53.500000,53.500000,53.500000,53.500000,53.500000,0
2020-02-24,52.820000,52.820000,50.770000,53.500000,53.500000,63692
2020-02-25,51.560001,52.180000,49.939999,51.720001,51.720001,60108
2020-02-26,50.320000,50.610001,48.549999,50.139999,50.139999,66783
2020-02-27,48.860001,48.959999,46.389999,48.990002,48.990002,88607
2020-02-28,46.610001,47.380001,44.439999,47.549999,47.549999,69969
2020-03-01,45.230000,45.230000,45.230000,45.230000,45.230000,0
2020-03-02,44.340000,47.849998,43.939999,45.230000,45.230000,43493
2020-03-03,48.160000,48.910000,46.900002,47.400002,47.400002,11261918
2020-03-04,48.290001,48.779999,47.139999,47.639999,47.639999,8855132
2020-03-05,47.840000,47.919998,46.139999,46.549999,46.549999,8360720
2020-03-06,45.799999,46.090000,41.880001,42.400002,42.400002,43085248
2020-03-08,42.040001,42.040001,42.040001,42.040001,42.040001,0
2020-03-09,30.230000,35.990002,29.290001,33.709999,33.709999,90322779
2020-03-10,34.700001,36.160000,33.410000,35.020000,35.020000,27825662
2020-03-11,35.799999,37.330002,34.049999,35.580002,35.580002,77222
2020-03-12,33.160000,33.720001,31.750000,32.669998,32.669998,44850280
2020-03-13,32.849998,35.230000,32.070000,33.110001,33.110001,90529
2020-03-15,33.150002,33.150002,33.150002,33.150002,33.150002,0
2020-03-16,34.189999,34.450001,29.820000,33.150002,33.150002,87100
2020-03-17,31.290001,31.730000,28.530001,28.690001,28.690001,20915882
2020-03-18,29.250000,29.260000,22.969999,26.400000,26.400000,48622554
2020-03-19,24.410000,30.000000,24.410000,28.690001,28.690001,46811939
2020-03-20,29.209999,30.650000,25.700001,26.980000,26.980000,55051920
2020-03-22,25.750000,26.580000,24.549999,25.010000,25.010000,916056
2020-03-23,26.250000,28.350000,25.709999,28.309999,28.309999,46324328
2020-03-24,28.230000,29.070000,27.360001,28.620001,28.620001,36545369
2020-03-25,29.040001,29.660000,27.580000,29.139999,29.139999,30421698
2020-03-26,29.260000,29.360001,27.930000,28.440001,28.440001,27626128
2020-03-27,28.650000,28.719999,27.530001,28.459999,28.459999,31716180
2020-03-29,27.750000,28.469999,27.430000,27.620001,27.620001,317822
2020-03-30,27.730000,27.990000,26.500000,27.639999,27.639999,47383292
2020-03-31,28.290001,28.740000,27.250000,27.500000,27.500000,34708631
2020-04-01,27.440001,27.600000,26.139999,26.600000,26.600000,42903094
2020-04-02,26.740000,31.930000,26.730000,29.120001,29.120001,88740488
2020-04-03,28.860001,33.000000,28.480000,33.000000,33.000000,56942843
2020-04-05,32.330002,32.330002,32.330002,32.330002,32.330002,0
2020-04-06,32.439999,32.959999,31.520000,32.799999,32.799999,40470598
2020-04-07,32.509998,33.340000,31.469999,32.040001,32.040001,121624
2020-04-08,32.810001,33.619999,31.889999,33.470001,33.470001,47841032
2020-04-09,33.040001,35.180000,31.809999,32.029999,32.029999,58987738
2020-04-12,33.150002,33.200001,31.500000,32.160000,32.160000,844985
2020-04-13,33.070000,33.500000,31.440001,33.459999,33.459999,54802640
2020-04-14,33.770000,33.799999,31.590000,32.480000,32.480000,60442967
2020-04-15,32.230000,32.250000,29.900000,30.270000,30.270000,48082033
2020-04-16,30.770000,30.920000,28.750000,30.639999,30.639999,48367531
2020-04-17,30.650000,30.750000,29.219999,29.520000,29.520000,79991658
2020-04-19,29.320000,29.400000,28.920000,28.980000,28.980000,260385
2020-04-20,28.600000,28.690001,25.750000,27.139999,27.139999,106141260
